FID,lat,lon,gid,reachid,pen_power_,pen_head_f
ReAtlas_smallhydro.4662,40.268911625981985,-121.55815379460213,4662,937336.000000,1716.096,171.555
ReAtlas_smallhydro.4663,40.30896929774298,-121.56323086250862,4663,937316.000000,2553.533,274.573
ReAtlas_smallhydro.4665,40.35700336419993,-121.51100220197384,4665,937311.000000,2140.894,249.902
ReAtlas_smallhydro.4666,40.368584310333695,-121.56107299541299,4666,937252.000000,1067.804,945.243
ReAtlas_smallhydro.4667,40.351225293658445,-121.65006155810468,4667,937253.000000,2047.458,427.592
ReAtlas_smallhydro.4668,40.364205714720484,-121.58755862302954,4668,937256.000000,1168.747,924.344
ReAtlas_smallhydro.4669,40.3538233749263,-121.70831915855871,4669,937249.000000,5384.451,973.852
ReAtlas_smallhydro.4670,40.361909813490136,-121.71352146400952,4670,937246.000000,1538.972,842.979
ReAtlas_smallhydro.4671,40.35765711208876,-121.74190239572536,4671,937247.000000,1127.910,144.816
ReAtlas_smallhydro.4672,40.362411543080164,-121.7843394751896,4672,937244.000000,3975.615,494.751
ReAtlas_smallhydro.4674,40.37219469722711,-121.80534663514365,4674,937240.000000,1359.318,163.091
ReAtlas_smallhydro.4675,40.30229712143568,-122.16585157680078,4675,979679.000000,5137.927,13.780
ReAtlas_smallhydro.4676,40.38166993806926,-121.83179651284618,4676,937236.000000,1840.304,220.407
ReAtlas_smallhydro.4677,40.316951614323834,-122.18985876704642,4677,979676.000000,1858.581,4.987
ReAtlas_smallhydro.4678,40.32506983064989,-122.16737605143464,4678,979677.000000,1712.195,4.593
